ApplicationID,SubmissionDate,ApplicantType,Country,Age,ApplicationType,DocumentStatus,PaymentStatus,PaymentAmount,PaymentMethod,PaymentDate,PaymentQuarter,ProcessingStage,DaysToProcess,DataCheckStatus,MissingInfoFlag,AssignedTeam
APP-100015,2024-06-29 11:04:22.847060,UK,United Kingdom,43.0,Fully Qualified,Complete,Paid,141.0,PayPal,2024-07-24 11:04:22.847060,Q3,Submitted,0,Pass,No,Team B
APP-100016,2024-12-22 11:04:22.847060,UK,United Kingdom,53.0,Student Registration,Incomplete,Paid,35.0,PayPal,2024-12-25 11:04:22.847060,Q4,Submitted,0,Pass,Yes,Team A
APP-100017,2025-08-05 11:04:22.847060,UK,United Kingdom,40.0,Fully Qualified,Complete,Paid,141.0,PayPal,2025-08-15 11:04:22.847060,Q3,Completed,4,Pass,No,Team C
APP-100018,2025-01-13 11:04:22.847060,UK,United Kingdom,18.0,Student Registration,Complete,Paid,35.0,Bank Transfer,2025-01-18 11:04:22.847060,Q1,In Review,9,Pass,No,Team B
APP-100019,2025-09-04 11:04:22.847060,UK,United Kingdom,57.0,FQ RESTO,Complete,Paid,235.0,Bank Transfer,2025-09-27 11:04:22.847060,Q3,Withdrawn,0,Fail,No,Team B
APP-100020,2025-03-13 11:04:22.847060,UK,United Kingdom,32.0,FQ RESTO,Complete,Unpaid,,PayPal,,,In Review,11,Fail,No,Team C
APP-100021,2024-06-08 11:04:22.847060,UK,United Kingdom,38.0,BD RESTO,Complete,Unpaid,0.0,Bank Transfer,,,Completed,16,Pass,No,Team C
APP-100022,2024-11-12 11:04:22.847060,UK,United Kingdom,26.0,Student Registration,Complete,Paid,35.0,Bank Transfer,2024-11-26 11:04:22.847060,Q4,In Review,4,Pass,No,Team A
APP-100023,2025-08-08 11:04:22.847060,UK,United Kingdom,26.0,FQ RESTO,Complete,Paid,235.0,Bank Transfer,2025-08-28 11:04:22.847060,Q3,In Review,11,Fail,No,Team A
APP-100024,2025-05-16 11:04:22.847060,UK,United Kingdom,27.0,Fully Qualified,Complete,Paid,211.5,Bank Transfer,2025-05-24 11:04:22.847060,Q2,Submitted,0,Pass,No,Team B
APP-100025,2025-03-13 11:04:22.847060,International,Australia,43.0,Fully Qualified,Complete,Pending,211.5,PayPal,2025-04-04 11:04:22.847060,Q2,In Review,7,Pass,No,Team C
APP-100026,2024-11-08 11:04:22.847060,UK,United Kingdom,58.0,Body Corporate,Complete,Paid,100.0,PayPal,2024-11-13 11:04:22.847060,Q4,Completed,6,Pass,No,Team C
APP-100027,2025-01-08 11:04:22.847060,UK,United Kingdom,52.0,Student Registration,Incomplete,Unpaid,0.0,Bank Transfer,,,Withdrawn,0,Pass,Yes,Team C
APP-100028,2025-05-12 11:04:22.847060,UK,United Kingdom,42.0,Student Registration,Complete,Paid,35.0,Bank Transfer,2025-05-12 11:04:22.847060,Q2,Completed,8,Pass,No,Team B
APP-100029,2024-09-14 11:04:22.847060,UK,United Kingdom,43.0,BD RESTO,Complete,Unpaid,0.0,PayPal,,,Submitted,0,Pass,No,Team C
APP-100030,2024-09-04 11:04:22.847060,UK,United Kingdom,28.0,Student Registration,Complete,Pending,35.0,Bank Transfer,2024-09-27 11:04:22.847060,Q3,Submitted,0,Fail,No,Team C
APP-100031,2025-06-26 11:04:22.847060,UK,United Kingdom,55.0,Body Corporate,Incomplete,Pending,200.0,Bank Transfer,2025-07-06 11:04:22.847060,Q3,Submitted,0,Fail,Yes,Team B
APP-100032,2024-09-09 11:04:22.847060,UK,United Kingdom,19.0,Fully Qualified,Complete,Paid,70.5,PayPal,2024-10-04 11:04:22.847060,Q4,Completed,8,Pass,No,Team A
APP-100033,2025-06-04 11:04:22.847060,International,France,24.0,FQ RESTO,Complete,Paid,352.5,Bank Transfer,2025-06-13 11:04:22.847060,Q2,Completed,11,Pass,No,Team A
APP-100034,2025-05-20 11:04:22.847060,International,Australia,35.0,STUDENT RESTO,Incomplete,Paid,35.0,PayPal,2025-06-07 11:04:22.847060,Q2,Completed,16,Pass,Yes,Team B
APP-100035,2025-02-27 11:04:22.847060,International,Germany,44.0,FQ RESTO,Incomplete,Paid,470.0,Bank Transfer,2025-03-20 11:04:22.847060,Q1,Submitted,0,Pass,Yes,Team C
APP-100036,2024-07-16 11:04:22.847060,UK,United Kingdom,51.0,Student Registration,Complete,Paid,35.0,Bank Transfer,2024-08-09 11:04:22.847060,Q3,Completed,9,Pass,No,Team B
APP-100037,2025-09-15 11:04:22.847060,UK,United Kingdom,44.0,Student Registration,Complete,Paid,35.0,Bank Transfer,2025-09-21 11:04:22.847060,Q3,In Review,2,Pass,No,Team A
APP-100038,2024-10-07 11:04:22.847060,International,Germany,34.0,Fully Qualified,Complete,Paid,70.5,PayPal,2024-10-12 11:04:22.847060,Q4,Completed,9,Fail,No,Team A
APP-100039,2025-06-24 11:04:22.847060,UK,United Kingdom,41.0,Student Registration,Incomplete,Paid,35.0,Bank Transfer,2025-07-13 11:04:22.847060,Q3,Completed,7,Pass,Yes,Team B
APP-100040,2024-08-21 11:04:22.847060,UK,United Kingdom,42.0,Student Registration,Complete,Paid,35.0,Bank Transfer,2024-09-17 11:04:22.847060,Q3,Completed,3,Pass,No,Team B
APP-100041,2025-03-29 11:04:22.847060,UK,United Kingdom,24.0,Body Corporate,Complete,Paid,300.0,PayPal,2025-04-18 11:04:22.847060,Q2,Completed,9,Fail,No,Team A
APP-100042,2025-06-07 11:04:22.847060,UK,United Kingdom,23.0,Fully Qualified,Incomplete,Unpaid,0.0,Bank Transfer,,,Submitted,0,Pass,Yes,Team B
APP-100043,2024-12-15 11:04:22.847060,International,France,41.0,STUDENT RESTO,Complete,Paid,35.0,Bank Transfer,2025-01-12 11:04:22.847060,Q1,Completed,15,Pass,No,Team A
APP-100044,2024-08-12 11:04:22.847060,UK,United Kingdom,50.0,Student Registration,Complete,Paid,35.0,Bank Transfer,2024-08-24 11:04:22.847060,Q3,Submitted,0,Pass,No,Team B
APP-100045,2024-07-18 11:04:22.847060,International,Australia,46.0,Student Registration,Complete,Paid,35.0,PayPal,2024-08-13 11:04:22.847060,Q3,Completed,3,Pass,No,Team B
APP-100046,2025-01-21 11:04:22.847060,UK,United Kingdom,39.0,Student Registration,Complete,Pending,35.0,Bank Transfer,2025-02-03 11:04:22.847060,Q1,In Review,8,Pass,No,Team B
APP-100047,2025-03-25 11:04:22.847060,UK,United Kingdom,43.0,STUDENT RESTO,Complete,Paid,35.0,Bank Transfer,2025-04-10 11:04:22.847060,Q2,Completed,13,Pass,No,Team A
APP-100048,2024-08-22 11:04:22.847060,UK,United Kingdom,45.0,BD RESTO,,Paid,260.0,Bank Transfer,2024-09-01 11:04:22.847060,Q3,Completed,12,Pass,No,Team B
APP-100049,2025-01-26 11:04:22.847060,UK,United Kingdom,38.0,FQ RESTO,Complete,Paid,470.0,Bank Transfer,2025-01-28 11:04:22.847060,Q1,Completed,10,Fail,No,Team A
APP-100050,2024-09-13 11:04:22.847060,International,Nigeria,24.0,STUDENT RESTO,Complete,Paid,35.0,PayPal,2024-09-25 11:04:22.847060,Q3,Completed,17,Pass,No,Team A
APP-100051,2025-06-26 11:04:22.847060,International,Pakistan,34.0,Fully Qualified,Incomplete,Paid,141.0,PayPal,2025-07-17 11:04:22.847060,Q3,Completed,5,Pass,Yes,Team B
APP-100052,2025-03-13 11:04:22.847060,International,Brazil,37.0,Fully Qualified,Complete,Unpaid,0.0,PayPal,,,,7,Pass,No,Team B
APP-100053,2025-09-09 11:04:22.847060,International,Nigeria,58.0,Fully Qualified,Incomplete,Unpaid,0.0,PayPal,,,Completed,7,Pass,Yes,Team A
APP-100054,2025-06-10 11:04:22.847060,UK,United Kingdom,37.0,Body Corporate,Complete,Paid,300.0,PayPal,2025-06-13 11:04:22.847060,Q2,Completed,7,Pass,No,Team A
APP-100055,2024-11-15 11:04:22.847060,International,India,39.0,Fully Qualified,Incomplete,Paid,70.5,Bank Transfer,2024-11-20 11:04:22.847060,Q4,In Review,10,Pass,Yes,Team C
APP-100056,2025-06-16 11:04:22.847060,UK,United Kingdom,45.0,Fully Qualified,Complete,Paid,211.5,PayPal,2025-06-20 11:04:22.847060,Q2,Withdrawn,0,Pass,No,Team A
APP-100057,2025-05-31 11:04:22.847060,UK,United Kingdom,57.0,STUDENT RESTO,Complete,Paid,35.0,Bank Transfer,2025-06-15 11:04:22.847060,Q2,Completed,12,Pass,No,Team C
APP-100058,2025-01-02 11:04:22.847060,UK,United Kingdom,24.0,STUDENT RESTO,Complete,Paid,35.0,Bank Transfer,2025-01-12 11:04:22.847060,Q1,Completed,10,Pass,No,Team C
APP-100059,2025-03-02 11:04:22.847060,UK,United Kingdom,18.0,BD RESTO,Incomplete,Paid,520.0,PayPal,2025-03-31 11:04:22.847060,Q1,In Review,17,Pass,Yes,Team C
APP-100060,2024-08-14 11:04:22.847060,UK,United Kingdom,49.0,BD RESTO,Complete,Unpaid,0.0,Bank Transfer,,,Submitted,0,Pass,No,Team B
APP-100061,2024-11-24 11:04:22.847060,UK,United Kingdom,30.0,Body Corporate,Complete,Unpaid,0.0,PayPal,,,Completed,3,Fail,No,Team B
APP-100062,2025-02-07 11:04:22.847060,International,India,47.0,Student Registration,Complete,Paid,35.0,Bank Transfer,2025-02-14 11:04:22.847060,Q1,Submitted,0,Pass,No,Team A
APP-100063,2024-11-16 11:04:22.847060,UK,United Kingdom,40.0,Student Registration,Incomplete,Paid,35.0,PayPal,2024-11-16 11:04:22.847060,Q4,Completed,8,Pass,Yes,Team C
APP-100064,2025-09-18 11:04:22.847060,UK,United Kingdom,36.0,Body Corporate,Complete,Paid,200.0,Bank Transfer,2025-09-26 11:04:22.847060,Q3,In Review,7,Pass,No,Team B
APP-100065,2025-06-25 11:04:22.847060,UK,United Kingdom,49.0,BD RESTO,Complete,Paid,260.0,PayPal,2025-07-07 11:04:22.847060,Q3,In Review,10,Pass,No,Team B
APP-100066,2025-03-05 11:04:22.847060,UK,United Kingdom,47.0,Student Registration,Complete,Paid,35.0,PayPal,2025-03-12 11:04:22.847060,Q1,Completed,3,Pass,No,Team B
APP-100067,2025-01-12 11:04:22.847060,International,China,46.0,STUDENT RESTO,Incomplete,Paid,35.0,Bank Transfer,2025-01-26 11:04:22.847060,Q1,Completed,12,Pass,Yes,Team B
APP-100068,2025-04-30 11:04:22.847060,UK,United Kingdom,46.0,Student Registration,Complete,Pending,35.0,Bank Transfer,2025-05-24 11:04:22.847060,Q2,Completed,4,Pass,No,Team B
APP-100069,2024-07-29 11:04:22.847060,International,India,47.0,Student Registration,Complete,Pending,35.0,Bank Transfer,2024-08-06 11:04:22.847060,Q3,Completed,4,Pass,No,Team C
APP-100070,2025-01-22 11:04:22.847060,International,USA,33.0,Body Corporate,Complete,Paid,400.0,Bank Transfer,2025-02-21 11:04:22.847060,Q1,In Review,8,Pass,No,Team C
APP-100071,2024-07-04 11:04:22.847060,UK,United Kingdom,57.0,Student Registration,Complete,Paid,35.0,PayPal,2024-07-14 11:04:22.847060,Q3,Completed,5,Pass,No,Team C
APP-100072,2025-04-21 11:04:22.847060,UK,United Kingdom,36.0,Student Registration,Complete,Paid,35.0,PayPal,2025-04-30 11:04:22.847060,Q2,In Review,11,Pass,No,Team C
APP-100073,2025-07-17 11:04:22.847060,International,China,35.0,Fully Qualified,Complete,Paid,141.0,Bank Transfer,2025-08-04 11:04:22.847060,Q3,Completed,5,Fail,No,Team A
APP-100074,2025-03-03 11:04:22.847060,International,Canada,18.0,BD RESTO,Complete,Paid,520.0,PayPal,2025-03-26 11:04:22.847060,Q1,Completed,11,Pass,No,Team C
APP-100075,2024-08-08 11:04:22.847060,International,Germany,31.0,Fully Qualified,Complete,Paid,141.0,PayPal,2024-08-26 11:04:22.847060,Q3,In Review,8,Pass,No,Team B
APP-100076,2025-01-04 11:04:22.847060,International,France,19.0,Body Corporate,Complete,Paid,400.0,Bank Transfer,2025-01-04 11:04:22.847060,Q1,Completed,6,Pass,No,Team C
APP-100077,2025-04-20 11:04:22.847060,UK,United Kingdom,45.0,Body Corporate,Complete,Paid,300.0,PayPal,2025-04-28 11:04:22.847060,Q2,Completed,6,Pass,No,Team A
APP-100078,2025-01-05 11:04:22.847060,UK,United Kingdom,47.0,Student Registration,Complete,Unpaid,0.0,PayPal,,,In Review,8,Pass,No,
APP-100079,2025-10-26 11:04:22.847060,UK,United Kingdom,55.0,STUDENT RESTO,Complete,Paid,35.0,Bank Transfer,2025-11-15 11:04:22.847060,Q4,Withdrawn,0,Pass,No,Team C
APP-100080,2025-07-12 11:04:22.847060,International,Australia,21.0,Student Registration,Complete,Paid,35.0,Bank Transfer,2025-07-23 11:04:22.847060,Q3,Submitted,0,Pass,No,Team C
APP-100081,2025-09-14 11:04:22.847060,UK,United Kingdom,18.0,STUDENT RESTO,Complete,Paid,35.0,Bank Transfer,2025-10-06 11:04:22.847060,Q4,In Review,12,Pass,No,Team C
APP-100082,2024-10-26 11:04:22.847060,UK,United Kingdom,25.0,Fully Qualified,Complete,Paid,70.5,PayPal,2024-11-02 11:04:22.847060,Q4,Completed,4,Pass,No,Team B
APP-100083,2025-02-28 11:04:22.847060,UK,United Kingdom,46.0,STUDENT RESTO,Complete,Paid,35.0,PayPal,2025-03-01 11:04:22.847060,Q1,Completed,12,Pass,No,Team B
APP-100084,2024-10-22 11:04:22.847060,UK,United Kingdom,56.0,Student Registration,Complete,Unpaid,,PayPal,,,Completed,8,Pass,No,Team A
APP-100085,2025-02-09 11:04:22.847060,UK,United Kingdom,20.0,Fully Qualified,Complete,Pending,282.0,Bank Transfer,2025-03-02 11:04:22.847060,Q1,Completed,8,Pass,No,Team B
APP-100086,2025-02-26 11:04:22.847060,International,Nigeria,49.0,Student Registration,Incomplete,Paid,35.0,Bank Transfer,2025-03-01 11:04:22.847060,Q1,Completed,7,Pass,Yes,Team B
APP-100087,2025-08-14 11:04:22.847060,UK,United Kingdom,27.0,Student Registration,Complete,Paid,35.0,Bank Transfer,2025-08-28 11:04:22.847060,Q3,Completed,8,Pass,No,Team C
APP-100088,2025-07-15 11:04:22.847060,International,Nigeria,27.0,Body Corporate,Complete,Paid,200.0,Bank Transfer,2025-07-24 11:04:22.847060,Q3,Submitted,0,Pass,No,Team B
APP-100089,2025-06-07 11:04:22.847060,UK,United Kingdom,36.0,Student Registration,Complete,Paid,35.0,PayPal,2025-06-12 11:04:22.847060,Q2,In Review,2,Pass,No,Team C
APP-100090,2025-01-12 11:04:22.847060,UK,United Kingdom,51.0,Body Corporate,Complete,Pending,400.0,PayPal,2025-01-24 11:04:22.847060,Q1,In Review,5,Pass,No,Team C
APP-100091,2024-10-21 11:04:22.847060,International,China,50.0,Student Registration,Complete,Paid,35.0,PayPal,2024-11-11 11:04:22.847060,Q4,In Review,6,Fail,No,Team B
APP-100092,2025-11-05 11:04:22.847060,International,China,40.0,Fully Qualified,Complete,Paid,70.5,PayPal,2025-11-21 11:04:22.847060,Q4,Completed,4,Pass,No,Team A
APP-100093,2025-10-20 11:04:22.847060,UK,United Kingdom,45.0,BD RESTO,Complete,Paid,130.0,Bank Transfer,2025-11-18 11:04:22.847060,Q4,Submitted,0,Pass,No,Team A
APP-100094,2024-09-03 11:04:22.847060,International,USA,49.0,Fully Qualified,Complete,Paid,70.5,Bank Transfer,2024-10-01 11:04:22.847060,Q4,In Review,2,Pass,No,Team B
APP-100095,2024-07-20 11:04:22.847060,UK,United Kingdom,24.0,Body Corporate,Complete,Unpaid,0.0,Bank Transfer,,,In Review,6,Pass,No,Team A
APP-100096,2024-09-22 11:04:22.847060,UK,United Kingdom,46.0,Body Corporate,Complete,Paid,100.0,PayPal,2024-10-20 11:04:22.847060,Q4,Completed,6,Pass,No,Team C
APP-100097,2024-11-05 11:04:22.847060,UK,United Kingdom,25.0,FQ RESTO,Incomplete,Pending,117.5,PayPal,2024-11-27 11:04:22.847060,Q4,Completed,13,Pass,Yes,Team C
APP-100098,2024-11-12 11:04:22.847060,UK,United Kingdom,18.0,Fully Qualified,Complete,Paid,70.5,Bank Transfer,2024-12-06 11:04:22.847060,Q4,Completed,9,Fail,No,Team B
APP-100099,2025-08-08 11:04:22.847060,UK,United Kingdom,20.0,Body Corporate,Incomplete,Pending,200.0,Bank Transfer,2025-08-17 11:04:22.847060,Q3,Completed,3,Pass,Yes,Team A
APP-100100,2024-08-06 11:04:22.847060,UK,United Kingdom,41.0,STUDENT RESTO,Complete,Paid,35.0,Bank Transfer,2024-08-28 11:04:22.847060,Q3,Completed,15,Pass,No,Team A
APP-100101,2025-07-01 11:04:22.847060,UK,United Kingdom,40.0,BD RESTO,Complete,Paid,260.0,Bank Transfer,2025-07-04 11:04:22.847060,Q3,Completed,15,Fail,No,Team C
APP-100102,2025-06-27 11:04:22.847060,UK,United Kingdom,25.0,Fully Qualified,Complete,Pending,141.0,Bank Transfer,2025-07-17 11:04:22.847060,Q3,Submitted,0,,No,Team B
APP-100103,2025-09-24 11:04:22.847060,UK,United Kingdom,54.0,Body Corporate,Complete,Paid,100.0,Bank Transfer,2025-10-23 11:04:22.847060,Q4,Completed,6,Pass,No,Team A
APP-100104,2025-02-14 11:04:22.847060,International,USA,20.0,BD RESTO,Incomplete,Paid,520.0,Bank Transfer,2025-03-16 11:04:22.847060,Q1,Completed,14,Pass,Yes,Team B
APP-100105,2024-06-13 11:04:22.847060,UK,United Kingdom,50.0,Body Corporate,Complete,Paid,300.0,PayPal,2024-06-22 11:04:22.847060,Q2,Completed,5,Pass,No,Team A
APP-100106,2024-09-27 11:04:22.847060,UK,United Kingdom,45.0,Student Registration,Incomplete,,35.0,Bank Transfer,2024-10-08 11:04:22.847060,Q4,Completed,6,Pass,Yes,Team C
APP-100107,2025-03-02 11:04:22.847060,International,Pakistan,25.0,Student Registration,Complete,Paid,35.0,Bank Transfer,2025-03-21 11:04:22.847060,Q1,Completed,7,Fail,No,Team C
APP-100108,2025-05-16 11:04:22.847060,UK,United Kingdom,51.0,FQ RESTO,Incomplete,Unpaid,0.0,Bank Transfer,,,Completed,13,Pass,Yes,Team B
APP-100109,2024-09-24 11:04:22.847060,UK,United Kingdom,52.0,Student Registration,Complete,Paid,35.0,Bank Transfer,2024-10-01 11:04:22.847060,Q4,Completed,7,Pass,No,Team C
APP-100110,2025-03-29 11:04:22.847060,UK,United Kingdom,49.0,BD RESTO,Complete,Paid,390.0,Bank Transfer,2025-04-05 11:04:22.847060,Q2,In Review,17,Pass,No,Team A
APP-100111,2025-08-21 11:04:22.847060,UK,United Kingdom,41.0,Fully Qualified,Complete,Pending,141.0,Bank Transfer,2025-09-20 11:04:22.847060,Q3,Completed,8,Pass,No,Team C
APP-100112,2024-11-10 11:04:22.847060,International,Pakistan,31.0,Fully Qualified,Complete,Paid,70.5,Bank Transfer,2024-11-14 11:04:22.847060,Q4,In Review,1,Fail,No,Team B
APP-100113,2025-09-09 11:04:22.847060,International,Brazil,49.0,Student Registration,Complete,Pending,35.0,Bank Transfer,2025-09-24 11:04:22.847060,Q3,Completed,8,Pass,No,Team B
APP-100114,2024-06-05 11:04:22.847060,UK,United Kingdom,33.0,Student Registration,Complete,Unpaid,0.0,PayPal,,,Completed,8,Pass,No,Team B
APP-100115,2025-02-26 11:04:22.847060,International,Canada,21.0,STUDENT RESTO,,Paid,35.0,Bank Transfer,2025-03-02 11:04:22.847060,Q1,Submitted,0,Pass,Yes,Team A
APP-100116,2025-10-27 11:04:22.847060,International,Pakistan,54.0,FQ RESTO,Complete,Paid,117.5,PayPal,2025-11-10 11:04:22.847060,Q4,Completed,17,Pass,No,Team A
APP-100117,2024-12-01 11:04:22.847060,UK,United Kingdom,38.0,Body Corporate,Complete,Paid,100.0,Bank Transfer,2024-12-24 11:04:22.847060,Q4,In Review,7,Pass,No,Team A
APP-100118,2025-11-03 11:04:22.847060,International,Nigeria,31.0,Fully Qualified,Complete,Pending,70.5,Bank Transfer,2025-11-22 11:04:22.847060,Q4,Completed,4,Pass,No,Team A
APP-100119,2024-09-18 11:04:22.847060,UK,United Kingdom,48.0,Body Corporate,Complete,Pending,200.0,Bank Transfer,2024-09-29 11:04:22.847060,,In Review,5,Pass,No,Team A
APP-100120,2025-04-03 11:04:22.847060,International,Germany,35.0,Body Corporate,Complete,Paid,300.0,Bank Transfer,2025-04-16 11:04:22.847060,Q2,Completed,8,Pass,No,Team C
APP-100121,2025-11-03 11:04:22.847060,International,Canada,24.0,Body Corporate,Complete,Paid,100.0,PayPal,,Q4,Submitted,0,Pass,No,Team A
APP-100122,2024-12-22 11:04:22.847060,UK,United Kingdom,27.0,Student Registration,Complete,Paid,35.0,PayPal,2025-01-08 11:04:22.847060,Q1,Completed,4,Pass,No,Team A
APP-100123,2024-11-05 11:04:22.847060,UK,United Kingdom,24.0,Body Corporate,Complete,Pending,100.0,PayPal,2024-12-04 11:04:22.847060,Q4,In Review,7,Pass,No,Team C
APP-100124,2025-06-19 11:04:22.847060,UK,United Kingdom,50.0,BD RESTO,Complete,Paid,260.0,PayPal,2025-07-04 11:04:22.847060,Q3,Completed,15,Pass,No,Team A
APP-100125,2024-11-14 11:04:22.847060,UK,United Kingdom,40.0,STUDENT RESTO,Complete,Paid,35.0,PayPal,2024-12-08 11:04:22.847060,Q4,Completed,11,Pass,No,Team B
APP-100126,2024-06-02 11:04:22.847060,International,Australia,38.0,Student Registration,Complete,Paid,35.0,Bank Transfer,2024-06-19 11:04:22.847060,Q2,Withdrawn,0,Pass,No,Team A
APP-100127,2025-04-29 11:04:22.847060,International,USA,36.0,BD RESTO,Complete,Pending,390.0,Bank Transfer,2025-05-24 11:04:22.847060,Q2,Completed,15,Pass,No,Team A
APP-100128,2025-10-15 11:04:22.847060,UK,United Kingdom,36.0,Body Corporate,Complete,Paid,100.0,PayPal,2025-11-05 11:04:22.847060,Q4,Completed,8,Pass,No,Team B
APP-100129,2024-06-21 11:04:22.847060,UK,United Kingdom,11.0,Fully Qualified,Complete,Paid,141.0,PayPal,2024-07-17 11:04:22.847060,Q3,In Review,8,Pass,No,Team B
APP-100130,2024-09-24 11:04:22.847060,UK,United Kingdom,46.0,Student Registration,Complete,Paid,35.0,Bank Transfer,2024-09-30 11:04:22.847060,Q3,In Review,9,Pass,No,Team B
APP-100131,2025-06-08 11:04:22.847060,UK,United Kingdom,35.0,Fully Qualified,Incomplete,Paid,141.0,PayPal,2025-07-02 11:04:22.847060,Q3,In Review,7,Fail,Yes,Team B
APP-100132,2025-04-12 11:04:22.847060,UK,United Kingdom,19.0,Fully Qualified,Complete,Pending,211.5,Bank Transfer,2025-04-19 11:04:22.847060,Q2,Completed,9,Pass,No,Team A
APP-100133,2025-02-02 11:04:22.847060,UK,United Kingdom,18.0,Fully Qualified,Incomplete,Unpaid,0.0,Bank Transfer,,,Completed,4,Pass,Yes,Team B
APP-100134,2024-07-31 11:04:22.847060,International,Canada,22.0,BD RESTO,Complete,Paid,260.0,Bank Transfer,2024-08-21 11:04:22.847060,Q3,Submitted,0,Pass,No,Team B
APP-100135,2025-02-03 11:04:22.847060,UK,United Kingdom,37.0,BD RESTO,Complete,Paid,520.0,PayPal,2025-02-27 11:04:22.847060,Q1,Completed,12,Pass,No,Team C
APP-100136,2024-08-21 11:04:22.847060,UK,United Kingdom,28.0,Body Corporate,Complete,Paid,200.0,PayPal,2024-09-09 11:04:22.847060,Q3,Completed,5,Pass,No,Team B
APP-100137,2024-08-28 11:04:22.847060,International,Brazil,59.0,STUDENT RESTO,Incomplete,Paid,35.0,Bank Transfer,2024-09-24 11:04:22.847060,Q3,Completed,16,Pass,Yes,Team B
APP-100138,2025-10-12 11:04:22.847060,UK,United Kingdom,19.0,Fully Qualified,Complete,Pending,70.5,Bank Transfer,2025-11-06 11:04:22.847060,Q4,Submitted,0,Fail,No,Team C
APP-100139,2024-08-11 11:04:22.847060,International,China,20.0,Student Registration,Incomplete,Paid,35.0,Bank Transfer,2024-08-13 11:04:22.847060,Q3,Submitted,0,Pass,Yes,Team C
APP-100140,2024-10-08 11:04:22.847060,International,Nigeria,40.0,Body Corporate,Incomplete,Paid,100.0,PayPal,2024-10-24 11:04:22.847060,Q4,Completed,6,Fail,Yes,Team A
APP-100141,2024-10-11 11:04:22.847060,UK,United Kingdom,29.0,Student Registration,Complete,Paid,35.0,Bank Transfer,2024-10-25 11:04:22.847060,Q4,Completed,6,Pass,No,Team C
APP-100142,2025-10-01 11:04:22.847060,UK,United Kingdom,37.0,Fully Qualified,Complete,Paid,70.5,Bank Transfer,2025-10-17 11:04:22.847060,Q4,In Review,8,Pass,No,Team A
